x,perturbed_x,y,wikidata_property,perturbed_question,perturbed_yes_no_question,original_question,original_yes_no_question
Q16663518,Robert the Monk,Thomas of Metsoph,student of,What subject did Robert the Monk study under Thomas of Metsoph?,Did Robert the Monk write a thesis under the guidance of their advisor Thomas of Metsoph?,What subject did Q16663518 study under Thomas of Metsoph?,Did Q16663518 write a thesis under the guidance of their advisor Thomas of Metsoph?
Marie Besson,George W. Bush,Sarah Bernhardt,student of,What subject did George W. Bush study under Sarah Bernhardt?,Did George W. Bush write a thesis under the guidance of their advisor Sarah Bernhardt?,What subject did Marie Besson study under Sarah Bernhardt?,Did Marie Besson write a thesis under the guidance of their advisor Sarah Bernhardt?
Gabriele Paveri Fontana,Girolamo Parabosco,Francesco Filelfo,student of,What subject did Girolamo Parabosco study under Francesco Filelfo?,Did Girolamo Parabosco write a thesis under the guidance of their advisor Francesco Filelfo?,What subject did Gabriele Paveri Fontana study under Francesco Filelfo?,Did Gabriele Paveri Fontana write a thesis under the guidance of their advisor Francesco Filelfo?
Raoul Bardac,Wolfgang Amadeus Mozart,Claude Debussy,student of,What subject did Wolfgang Amadeus Mozart study under Claude Debussy?,Did Wolfgang Amadeus Mozart write a thesis under the guidance of their advisor Claude Debussy?,What subject did Raoul Bardac study under Claude Debussy?,Did Raoul Bardac write a thesis under the guidance of their advisor Claude Debussy?
Olivier Debr,Rodolphe Tpffer,Le Corbusier,student of,What subject did Rodolphe Tpffer study under Le Corbusier?,Did Rodolphe Tpffer write a thesis under the guidance of their advisor Le Corbusier?,What subject did Olivier Debr study under Le Corbusier?,Did Olivier Debr write a thesis under the guidance of their advisor Le Corbusier?
Q108313023,Vasili Bazhenov,Karl Bryullov,student of,What subject did Vasili Bazhenov study under Karl Bryullov?,Did Vasili Bazhenov write a thesis under the guidance of their advisor Karl Bryullov?,What subject did Q108313023 study under Karl Bryullov?,Did Q108313023 write a thesis under the guidance of their advisor Karl Bryullov?
Constantin Mils,Matthias Brandes,Franois-douard Picot,student of,What subject did Matthias Brandes study under Franois-douard Picot?,Did Matthias Brandes write a thesis under the guidance of their advisor Franois-douard Picot?,What subject did Constantin Mils study under Franois-douard Picot?,Did Constantin Mils write a thesis under the guidance of their advisor Franois-douard Picot?
Thessalus,Salvador Allende,Hippocrates,student of,What subject did Salvador Allende study under Hippocrates?,Did Salvador Allende write a thesis under the guidance of their advisor Hippocrates?,What subject did Thessalus study under Hippocrates?,Did Thessalus write a thesis under the guidance of their advisor Hippocrates?
Assen Jordanoff,Henrich Focke,Louis Blriot,student of,What subject did Henrich Focke study under Louis Blriot?,Did Henrich Focke write a thesis under the guidance of their advisor Louis Blriot?,What subject did Assen Jordanoff study under Louis Blriot?,Did Assen Jordanoff write a thesis under the guidance of their advisor Louis Blriot?
Luis Gil y Ranz,George W. Bush,Francisco Goya,student of,What subject did George W. Bush study under Francisco Goya?,Did George W. Bush write a thesis under the guidance of their advisor Francisco Goya?,What subject did Luis Gil y Ranz study under Francisco Goya?,Did Luis Gil y Ranz write a thesis under the guidance of their advisor Francisco Goya?
Serafina Passamonti,Giuseppe Cades,Antonio Canova,student of,What subject did Giuseppe Cades study under Antonio Canova?,Did Giuseppe Cades write a thesis under the guidance of their advisor Antonio Canova?,What subject did Serafina Passamonti study under Antonio Canova?,Did Serafina Passamonti write a thesis under the guidance of their advisor Antonio Canova?
Julio Moiss Fernndez de Villasante,George W. Bush,Salvador Dal,student of,What subject did George W. Bush study under Salvador Dal?,Did George W. Bush write a thesis under the guidance of their advisor Salvador Dal?,What subject did Julio Moiss Fernndez de Villasante study under Salvador Dal?,Did Julio Moiss Fernndez de Villasante write a thesis under the guidance of their advisor Salvador Dal?
Q24450568,Q6539754,Albrecht Drer,student of,What subject did Q6539754 study under Albrecht Drer?,Did Q6539754 write a thesis under the guidance of their advisor Albrecht Drer?,What subject did Q24450568 study under Albrecht Drer?,Did Q24450568 write a thesis under the guidance of their advisor Albrecht Drer?
Suigetsu Koryuu,Diego Velzquez,Katsushika Hokusai,student of,What subject did Diego Velzquez study under Katsushika Hokusai?,Did Diego Velzquez write a thesis under the guidance of their advisor Katsushika Hokusai?,What subject did Suigetsu Koryuu study under Katsushika Hokusai?,Did Suigetsu Koryuu write a thesis under the guidance of their advisor Katsushika Hokusai?
Sigrun Stenhoff-Hjertn,Christian Berg,Henri Matisse,student of,What subject did Christian Berg study under Henri Matisse?,Did Christian Berg write a thesis under the guidance of their advisor Henri Matisse?,What subject did Sigrun Stenhoff-Hjertn study under Henri Matisse?,Did Sigrun Stenhoff-Hjertn write a thesis under the guidance of their advisor Henri Matisse?
Guglielmo della Porta,El Greco,Michelangelo,student of,What subject did El Greco study under Michelangelo?,Did El Greco write a thesis under the guidance of their advisor Michelangelo?,What subject did Guglielmo della Porta study under Michelangelo?,Did Guglielmo della Porta write a thesis under the guidance of their advisor Michelangelo?
Tianyu Zuo,Jawed Karim,Pablo Picasso,student of,What subject did Jawed Karim study under Pablo Picasso?,Did Jawed Karim write a thesis under the guidance of their advisor Pablo Picasso?,What subject did Tianyu Zuo study under Pablo Picasso?,Did Tianyu Zuo write a thesis under the guidance of their advisor Pablo Picasso?
Pietro de Saliba,Luca Signorelli,Antonello da Messina,student of,What subject did Luca Signorelli study under Antonello da Messina?,Did Luca Signorelli write a thesis under the guidance of their advisor Antonello da Messina?,What subject did Pietro de Saliba study under Antonello da Messina?,Did Pietro de Saliba write a thesis under the guidance of their advisor Antonello da Messina?
Luca Penni,El Greco,Raphael,student of,What subject did El Greco study under Raphael?,Did El Greco write a thesis under the guidance of their advisor Raphael?,What subject did Luca Penni study under Raphael?,Did Luca Penni write a thesis under the guidance of their advisor Raphael?
Johannes Raven,M. C. Escher,Rembrandt,student of,What subject did M. C. Escher study under Rembrandt?,Did M. C. Escher write a thesis under the guidance of their advisor Rembrandt?,What subject did Johannes Raven study under Rembrandt?,Did Johannes Raven write a thesis under the guidance of their advisor Rembrandt?
Philippe Vleughels,Frans Snyders,Peter Paul Rubens,student of,What subject did Frans Snyders study under Peter Paul Rubens?,Did Frans Snyders write a thesis under the guidance of their advisor Peter Paul Rubens?,What subject did Philippe Vleughels study under Peter Paul Rubens?,Did Philippe Vleughels write a thesis under the guidance of their advisor Peter Paul Rubens?
Leonard Spangenberg,Fritz Todt,Frank Lloyd Wright,student of,What subject did Fritz Todt study under Frank Lloyd Wright?,Did Fritz Todt write a thesis under the guidance of their advisor Frank Lloyd Wright?,What subject did Leonard Spangenberg study under Frank Lloyd Wright?,Did Leonard Spangenberg write a thesis under the guidance of their advisor Frank Lloyd Wright?
Zanobi Machiavelli,Andrei Rublev,Fra Angelico,student of,What subject did Andrei Rublev study under Fra Angelico?,Did Andrei Rublev write a thesis under the guidance of their advisor Fra Angelico?,What subject did Zanobi Machiavelli study under Fra Angelico?,Did Zanobi Machiavelli write a thesis under the guidance of their advisor Fra Angelico?
Filippino Lippi,Fra Bartolomeo,Sandro Botticelli,student of,What subject did Fra Bartolomeo study under Sandro Botticelli?,Did Fra Bartolomeo write a thesis under the guidance of their advisor Sandro Botticelli?,What subject did Filippino Lippi study under Sandro Botticelli?,Did Filippino Lippi write a thesis under the guidance of their advisor Sandro Botticelli?
Amano Trin,Tatsuko Hoshino,Matsuo Bash,student of,What subject did Tatsuko Hoshino study under Matsuo Bash?,Did Tatsuko Hoshino write a thesis under the guidance of their advisor Matsuo Bash?,What subject did Amano Trin study under Matsuo Bash?,Did Amano Trin write a thesis under the guidance of their advisor Matsuo Bash?
Bernardino Mantegna,George W. Bush,Andrea Mantegna,student of,What subject did George W. Bush study under Andrea Mantegna?,Did George W. Bush write a thesis under the guidance of their advisor Andrea Mantegna?,What subject did Bernardino Mantegna study under Andrea Mantegna?,Did Bernardino Mantegna write a thesis under the guidance of their advisor Andrea Mantegna?
Armand Hayem,Napoleon III,Pierre-Joseph Proudhon,student of,What subject did Napoleon III study under Pierre-Joseph Proudhon?,Did Napoleon III write a thesis under the guidance of their advisor Pierre-Joseph Proudhon?,What subject did Armand Hayem study under Pierre-Joseph Proudhon?,Did Armand Hayem write a thesis under the guidance of their advisor Pierre-Joseph Proudhon?
Domenico Veneziano,Vittore Carpaccio,Masaccio,student of,What subject did Vittore Carpaccio study under Masaccio?,Did Vittore Carpaccio write a thesis under the guidance of their advisor Masaccio?,What subject did Domenico Veneziano study under Masaccio?,Did Domenico Veneziano write a thesis under the guidance of their advisor Masaccio?
Giovanni Santi,Johann Wolfgang von Goethe,Piero della Francesca,student of,What subject did Johann Wolfgang von Goethe study under Piero della Francesca?,Did Johann Wolfgang von Goethe write a thesis under the guidance of their advisor Piero della Francesca?,What subject did Giovanni Santi study under Piero della Francesca?,Did Giovanni Santi write a thesis under the guidance of their advisor Piero della Francesca?
Giannicola di Paolo,George W. Bush,Pietro Perugino,student of,What subject did George W. Bush study under Pietro Perugino?,Did George W. Bush write a thesis under the guidance of their advisor Pietro Perugino?,What subject did Giannicola di Paolo study under Pietro Perugino?,Did Giannicola di Paolo write a thesis under the guidance of their advisor Pietro Perugino?
Christiane Luise Amalie Becker,Vladimir Vysotsky,Johann Wolfgang von Goethe,student of,What subject did Vladimir Vysotsky study under Johann Wolfgang von Goethe?,Did Vladimir Vysotsky write a thesis under the guidance of their advisor Johann Wolfgang von Goethe?,What subject did Christiane Luise Amalie Becker study under Johann Wolfgang von Goethe?,Did Christiane Luise Amalie Becker write a thesis under the guidance of their advisor Johann Wolfgang von Goethe?
Gianfranco Baruchello,Patti Smith,Marcel Duchamp,student of,What subject did Patti Smith study under Marcel Duchamp?,Did Patti Smith write a thesis under the guidance of their advisor Marcel Duchamp?,What subject did Gianfranco Baruchello study under Marcel Duchamp?,Did Gianfranco Baruchello write a thesis under the guidance of their advisor Marcel Duchamp?
John Dee,Al-Biruni,Gerardus Mercator,student of,What subject did Al-Biruni study under Gerardus Mercator?,Did Al-Biruni write a thesis under the guidance of their advisor Gerardus Mercator?,What subject did John Dee study under Gerardus Mercator?,Did John Dee write a thesis under the guidance of their advisor Gerardus Mercator?
Pace di Bartolo,George W. Bush,Giotto,student of,What subject did George W. Bush study under Giotto?,Did George W. Bush write a thesis under the guidance of their advisor Giotto?,What subject did Pace di Bartolo study under Giotto?,Did Pace di Bartolo write a thesis under the guidance of their advisor Giotto?
Aleksandr Stolper,Sergei Bondarchuk,Sergei Eisenstein,student of,What subject did Sergei Bondarchuk study under Sergei Eisenstein?,Did Sergei Bondarchuk write a thesis under the guidance of their advisor Sergei Eisenstein?,What subject did Aleksandr Stolper study under Sergei Eisenstein?,Did Aleksandr Stolper write a thesis under the guidance of their advisor Sergei Eisenstein?
Abu 'Ubayd al-Juzjani,Mikhail Bulgakov,Avicenna,student of,What subject did Mikhail Bulgakov study under Avicenna?,Did Mikhail Bulgakov write a thesis under the guidance of their advisor Avicenna?,What subject did Abu 'Ubayd al-Juzjani study under Avicenna?,Did Abu 'Ubayd al-Juzjani write a thesis under the guidance of their advisor Avicenna?
Heraclius of Hippo,Folquet de Marseille,Augustine of Hippo,student of,What subject did Folquet de Marseille study under Augustine of Hippo?,Did Folquet de Marseille write a thesis under the guidance of their advisor Augustine of Hippo?,What subject did Heraclius of Hippo study under Augustine of Hippo?,Did Heraclius of Hippo write a thesis under the guidance of their advisor Augustine of Hippo?
Nicolas Pineau,El Greco,Jules Hardouin-Mansart,student of,What subject did El Greco study under Jules Hardouin-Mansart?,Did El Greco write a thesis under the guidance of their advisor Jules Hardouin-Mansart?,What subject did Nicolas Pineau study under Jules Hardouin-Mansart?,Did Nicolas Pineau write a thesis under the guidance of their advisor Jules Hardouin-Mansart?
Willemijn Posthumus-van der Goot,Miep Gies,economics,student of,What subject did Miep Gies study under economics?,Did Miep Gies write a thesis under the guidance of their advisor economics?,What subject did Willemijn Posthumus-van der Goot study under economics?,Did Willemijn Posthumus-van der Goot write a thesis under the guidance of their advisor economics?
Pierre Orsi,Vincent Arnould,Paul Bocuse,student of,What subject did Vincent Arnould study under Paul Bocuse?,Did Vincent Arnould write a thesis under the guidance of their advisor Paul Bocuse?,What subject did Pierre Orsi study under Paul Bocuse?,Did Pierre Orsi write a thesis under the guidance of their advisor Paul Bocuse?
Daniele de' Porri,Parmigianino,Antonio da Correggio,student of,What subject did Parmigianino study under Antonio da Correggio?,Did Parmigianino write a thesis under the guidance of their advisor Antonio da Correggio?,What subject did Daniele de' Porri study under Antonio da Correggio?,Did Daniele de' Porri write a thesis under the guidance of their advisor Antonio da Correggio?
Andrea Schiavone,Parmigianino,Giorgione,student of,What subject did Parmigianino study under Giorgione?,Did Parmigianino write a thesis under the guidance of their advisor Giorgione?,What subject did Andrea Schiavone study under Giorgione?,Did Andrea Schiavone write a thesis under the guidance of their advisor Giorgione?
Diocleides of Athens,Larry Sanger,Euclid,student of,What subject did Larry Sanger study under Euclid?,Did Larry Sanger write a thesis under the guidance of their advisor Euclid?,What subject did Diocleides of Athens study under Euclid?,Did Diocleides of Athens write a thesis under the guidance of their advisor Euclid?
Charles Joseph Hullmandel,William Blake,Michael Faraday,student of,What subject did William Blake study under Michael Faraday?,Did William Blake write a thesis under the guidance of their advisor Michael Faraday?,What subject did Charles Joseph Hullmandel study under Michael Faraday?,Did Charles Joseph Hullmandel write a thesis under the guidance of their advisor Michael Faraday?
Mario Ageno,Bernard Katz,Enrico Fermi,student of,What subject did Bernard Katz study under Enrico Fermi?,Did Bernard Katz write a thesis under the guidance of their advisor Enrico Fermi?,What subject did Mario Ageno study under Enrico Fermi?,Did Mario Ageno write a thesis under the guidance of their advisor Enrico Fermi?
James Hutton,August Heinrich Sieberg,Colin MacLaurin,student of,What subject did August Heinrich Sieberg study under Colin MacLaurin?,Did August Heinrich Sieberg write a thesis under the guidance of their advisor Colin MacLaurin?,What subject did James Hutton study under Colin MacLaurin?,Did James Hutton write a thesis under the guidance of their advisor Colin MacLaurin?
Johann Peter Gustav Lejeune Dirichlet,Carl Friedrich Gauss,Joseph Fourier,student of,What subject did Carl Friedrich Gauss study under Joseph Fourier?,Did Carl Friedrich Gauss write a thesis under the guidance of their advisor Joseph Fourier?,What subject did Johann Peter Gustav Lejeune Dirichlet study under Joseph Fourier?,Did Johann Peter Gustav Lejeune Dirichlet write a thesis under the guidance of their advisor Joseph Fourier?
Auguste Comte Xavier,Karl Marx,Augustin-Louis Cauchy,student of,What subject did Karl Marx study under Augustin-Louis Cauchy?,Did Karl Marx write a thesis under the guidance of their advisor Augustin-Louis Cauchy?,What subject did Auguste Comte Xavier study under Augustin-Louis Cauchy?,Did Auguste Comte Xavier write a thesis under the guidance of their advisor Augustin-Louis Cauchy?
Johann Odontius,Galileo Galilei,Johannes Kepler,student of,What subject did Galileo Galilei study under Johannes Kepler?,Did Galileo Galilei write a thesis under the guidance of their advisor Johannes Kepler?,What subject did Johann Odontius study under Johannes Kepler?,Did Johann Odontius write a thesis under the guidance of their advisor Johannes Kepler?
Dietrich Prinz,Konrad Zuse,Max Planck,student of,What subject did Konrad Zuse study under Max Planck?,Did Konrad Zuse write a thesis under the guidance of their advisor Max Planck?,What subject did Dietrich Prinz study under Max Planck?,Did Dietrich Prinz write a thesis under the guidance of their advisor Max Planck?
Bindusara,Napoleon,Chanakya,student of,What subject did Napoleon study under Chanakya?,Did Napoleon write a thesis under the guidance of their advisor Chanakya?,What subject did Bindusara study under Chanakya?,Did Bindusara write a thesis under the guidance of their advisor Chanakya?
Johann Bernoulli,Leonhard Euler,Gottfried Wilhelm Leibniz,student of,What subject did Leonhard Euler study under Gottfried Wilhelm Leibniz?,Did Leonhard Euler write a thesis under the guidance of their advisor Gottfried Wilhelm Leibniz?,What subject did Johann Bernoulli study under Gottfried Wilhelm Leibniz?,Did Johann Bernoulli write a thesis under the guidance of their advisor Gottfried Wilhelm Leibniz?
Jonathan Bobaljik,Axel Meyer,Noam Chomsky,student of,What subject did Axel Meyer study under Noam Chomsky?,Did Axel Meyer write a thesis under the guidance of their advisor Noam Chomsky?,What subject did Jonathan Bobaljik study under Noam Chomsky?,Did Jonathan Bobaljik write a thesis under the guidance of their advisor Noam Chomsky?
Richard Glazebrook,Ernest Rutherford,James Clerk Maxwell,student of,What subject did Ernest Rutherford study under James Clerk Maxwell?,Did Ernest Rutherford write a thesis under the guidance of their advisor James Clerk Maxwell?,What subject did Richard Glazebrook study under James Clerk Maxwell?,Did Richard Glazebrook write a thesis under the guidance of their advisor James Clerk Maxwell?
Alexey Potylitsyn,Louis Pasteur,Dmitri Mendeleev,student of,What subject did Louis Pasteur study under Dmitri Mendeleev?,Did Louis Pasteur write a thesis under the guidance of their advisor Dmitri Mendeleev?,What subject did Alexey Potylitsyn study under Dmitri Mendeleev?,Did Alexey Potylitsyn write a thesis under the guidance of their advisor Dmitri Mendeleev?
Felisa Martn Bravo,Francis Beaufort,Ernest Rutherford,student of,What subject did Francis Beaufort study under Ernest Rutherford?,Did Francis Beaufort write a thesis under the guidance of their advisor Ernest Rutherford?,What subject did Felisa Martn Bravo study under Ernest Rutherford?,Did Felisa Martn Bravo write a thesis under the guidance of their advisor Ernest Rutherford?
Silas,Julius Caesar,Paul the Apostle,student of,What subject did Julius Caesar study under Paul the Apostle?,Did Julius Caesar write a thesis under the guidance of their advisor Paul the Apostle?,What subject did Silas study under Paul the Apostle?,Did Silas write a thesis under the guidance of their advisor Paul the Apostle?
Marjorie Boulton,William Auld,C. S. Lewis,student of,What subject did William Auld study under C. S. Lewis?,Did William Auld write a thesis under the guidance of their advisor C. S. Lewis?,What subject did Marjorie Boulton study under C. S. Lewis?,Did Marjorie Boulton write a thesis under the guidance of their advisor C. S. Lewis?
Igor Stepanovich Sumbaev,Galileo Galilei,Sigmund Freud,student of,What subject did Galileo Galilei study under Sigmund Freud?,Did Galileo Galilei write a thesis under the guidance of their advisor Sigmund Freud?,What subject did Igor Stepanovich Sumbaev study under Sigmund Freud?,Did Igor Stepanovich Sumbaev write a thesis under the guidance of their advisor Sigmund Freud?
Ludwig Ofterdinger,Friedrich Risner,Georg Wilhelm Friedrich Hegel,student of,What subject did Friedrich Risner study under Georg Wilhelm Friedrich Hegel?,Did Friedrich Risner write a thesis under the guidance of their advisor Georg Wilhelm Friedrich Hegel?,What subject did Ludwig Ofterdinger study under Georg Wilhelm Friedrich Hegel?,Did Ludwig Ofterdinger write a thesis under the guidance of their advisor Georg Wilhelm Friedrich Hegel?
Isaac Abraham Euchel,Petrus Apianus,Immanuel Kant,student of,What subject did Petrus Apianus study under Immanuel Kant?,Did Petrus Apianus write a thesis under the guidance of their advisor Immanuel Kant?,What subject did Isaac Abraham Euchel study under Immanuel Kant?,Did Isaac Abraham Euchel write a thesis under the guidance of their advisor Immanuel Kant?
Hendrik Staben,Diego Velzquez,Jacopo Tintoretto,student of,What subject did Diego Velzquez study under Jacopo Tintoretto?,Did Diego Velzquez write a thesis under the guidance of their advisor Jacopo Tintoretto?,What subject did Hendrik Staben study under Jacopo Tintoretto?,Did Hendrik Staben write a thesis under the guidance of their advisor Jacopo Tintoretto?
Bonifazio Veronese,Paolo Veronese,Palma Vecchio,student of,What subject did Paolo Veronese study under Palma Vecchio?,Did Paolo Veronese write a thesis under the guidance of their advisor Palma Vecchio?,What subject did Bonifazio Veronese study under Palma Vecchio?,Did Bonifazio Veronese write a thesis under the guidance of their advisor Palma Vecchio?
Giuseppe Niccol Vicentino,Jean Auguste Dominique Ingres,Parmigianino,student of,What subject did Jean Auguste Dominique Ingres study under Parmigianino?,Did Jean Auguste Dominique Ingres write a thesis under the guidance of their advisor Parmigianino?,What subject did Giuseppe Niccol Vicentino study under Parmigianino?,Did Giuseppe Niccol Vicentino write a thesis under the guidance of their advisor Parmigianino?
Jacob Heimans,Ernst Haeckel,Max Weber,student of,What subject did Ernst Haeckel study under Max Weber?,Did Ernst Haeckel write a thesis under the guidance of their advisor Max Weber?,What subject did Jacob Heimans study under Max Weber?,Did Jacob Heimans write a thesis under the guidance of their advisor Max Weber?
Alice Ambrose,Henri Bergson,Ludwig Wittgenstein,student of,What subject did Henri Bergson study under Ludwig Wittgenstein?,Did Henri Bergson write a thesis under the guidance of their advisor Ludwig Wittgenstein?,What subject did Alice Ambrose study under Ludwig Wittgenstein?,Did Alice Ambrose write a thesis under the guidance of their advisor Ludwig Wittgenstein?
Chun Chen,Larry Sanger,Zhu Xi,student of,What subject did Larry Sanger study under Zhu Xi?,Did Larry Sanger write a thesis under the guidance of their advisor Zhu Xi?,What subject did Chun Chen study under Zhu Xi?,Did Chun Chen write a thesis under the guidance of their advisor Zhu Xi?
Bimbisara,Louis IX of France,Mahavira,student of,What subject did Louis IX of France study under Mahavira?,Did Louis IX of France write a thesis under the guidance of their advisor Mahavira?,What subject did Bimbisara study under Mahavira?,Did Bimbisara write a thesis under the guidance of their advisor Mahavira?
Ccile Stanislas Xavier de Girardin,Napoleon,Jean-Jacques Rousseau,student of,What subject did Napoleon study under Jean-Jacques Rousseau?,Did Napoleon write a thesis under the guidance of their advisor Jean-Jacques Rousseau?,What subject did Ccile Stanislas Xavier de Girardin study under Jean-Jacques Rousseau?,Did Ccile Stanislas Xavier de Girardin write a thesis under the guidance of their advisor Jean-Jacques Rousseau?
Wilhelm Liebenow,Johann Christoph Mller,Alexander von Humboldt,student of,What subject did Johann Christoph Mller study under Alexander von Humboldt?,Did Johann Christoph Mller write a thesis under the guidance of their advisor Alexander von Humboldt?,What subject did Wilhelm Liebenow study under Alexander von Humboldt?,Did Wilhelm Liebenow write a thesis under the guidance of their advisor Alexander von Humboldt?
Georg Schambach,Wilhelm Mannhardt,Jacob Grimm,student of,What subject did Wilhelm Mannhardt study under Jacob Grimm?,Did Wilhelm Mannhardt write a thesis under the guidance of their advisor Jacob Grimm?,What subject did Georg Schambach study under Jacob Grimm?,Did Georg Schambach write a thesis under the guidance of their advisor Jacob Grimm?
Leo Meyer,Lorraine,Wilhelm Grimm,student of,What subject did Lorraine study under Wilhelm Grimm?,Did Lorraine write a thesis under the guidance of their advisor Wilhelm Grimm?,What subject did Leo Meyer study under Wilhelm Grimm?,Did Leo Meyer write a thesis under the guidance of their advisor Wilhelm Grimm?
Gustaf Svanberg,Hannes Alfvn,Carl Friedrich Gauss,student of,What subject did Hannes Alfvn study under Carl Friedrich Gauss?,Did Hannes Alfvn write a thesis under the guidance of their advisor Carl Friedrich Gauss?,What subject did Gustaf Svanberg study under Carl Friedrich Gauss?,Did Gustaf Svanberg write a thesis under the guidance of their advisor Carl Friedrich Gauss?
Mary Argo,William Bolcom,Edward Teller,student of,What subject did William Bolcom study under Edward Teller?,Did William Bolcom write a thesis under the guidance of their advisor Edward Teller?,What subject did Mary Argo study under Edward Teller?,Did Mary Argo write a thesis under the guidance of their advisor Edward Teller?
Samuel Beckett,Naguib Mahfouz,James Joyce,student of,What subject did Naguib Mahfouz study under James Joyce?,Did Naguib Mahfouz write a thesis under the guidance of their advisor James Joyce?,What subject did Samuel Beckett study under James Joyce?,Did Samuel Beckett write a thesis under the guidance of their advisor James Joyce?
Turpino Zaccagna,Andrea del Sarto,Luca Signorelli,student of,What subject did Andrea del Sarto study under Luca Signorelli?,Did Andrea del Sarto write a thesis under the guidance of their advisor Luca Signorelli?,What subject did Turpino Zaccagna study under Luca Signorelli?,Did Turpino Zaccagna write a thesis under the guidance of their advisor Luca Signorelli?
Hans Kramers,Enrico Fermi,Niels Bohr,student of,What subject did Enrico Fermi study under Niels Bohr?,Did Enrico Fermi write a thesis under the guidance of their advisor Niels Bohr?,What subject did Hans Kramers study under Niels Bohr?,Did Hans Kramers write a thesis under the guidance of their advisor Niels Bohr?
Ruth Stauffer,Galileo Galilei,Emmy Noether,student of,What subject did Galileo Galilei study under Emmy Noether?,Did Galileo Galilei write a thesis under the guidance of their advisor Emmy Noether?,What subject did Ruth Stauffer study under Emmy Noether?,Did Ruth Stauffer write a thesis under the guidance of their advisor Emmy Noether?
Joseph-Ernest Gendreau,Susan Blackmore,Marie Curie,student of,What subject did Susan Blackmore study under Marie Curie?,Did Susan Blackmore write a thesis under the guidance of their advisor Marie Curie?,What subject did Joseph-Ernest Gendreau study under Marie Curie?,Did Joseph-Ernest Gendreau write a thesis under the guidance of their advisor Marie Curie?
Lu Gwei-djen,Allen G. Debus,Dorothy M. Needham,student of,What subject did Allen G. Debus study under Dorothy M. Needham?,Did Allen G. Debus write a thesis under the guidance of their advisor Dorothy M. Needham?,What subject did Lu Gwei-djen study under Dorothy M. Needham?,Did Lu Gwei-djen write a thesis under the guidance of their advisor Dorothy M. Needham?
Xu Yue,Galileo Galilei,Emperor Houshao of Han,student of,What subject did Galileo Galilei study under Emperor Houshao of Han?,Did Galileo Galilei write a thesis under the guidance of their advisor Emperor Houshao of Han?,What subject did Xu Yue study under Emperor Houshao of Han?,Did Xu Yue write a thesis under the guidance of their advisor Emperor Houshao of Han?
Lakshmiswar Sinha,Wilhelm Ostwald,Rabindranath Tagore,student of,What subject did Wilhelm Ostwald study under Rabindranath Tagore?,Did Wilhelm Ostwald write a thesis under the guidance of their advisor Rabindranath Tagore?,What subject did Lakshmiswar Sinha study under Rabindranath Tagore?,Did Lakshmiswar Sinha write a thesis under the guidance of their advisor Rabindranath Tagore?
Robin Gandy,Bertrand Russell,Alan Turing,student of,What subject did Bertrand Russell study under Alan Turing?,Did Bertrand Russell write a thesis under the guidance of their advisor Alan Turing?,What subject did Robin Gandy study under Alan Turing?,Did Robin Gandy write a thesis under the guidance of their advisor Alan Turing?
Timotheos Xanthopoulos,Wolfgang Amadeus Mozart,Johannes Brahms,student of,What subject did Wolfgang Amadeus Mozart study under Johannes Brahms?,Did Wolfgang Amadeus Mozart write a thesis under the guidance of their advisor Johannes Brahms?,What subject did Timotheos Xanthopoulos study under Johannes Brahms?,Did Timotheos Xanthopoulos write a thesis under the guidance of their advisor Johannes Brahms?
Tamara Rubilar,Charlie Chaplin,Canada,work location,What was the role of Charlie Chaplin while working in Canada?,Was the role of Charlie Chaplin while working in Canada known?,What was the role of Tamara Rubilar while working in Canada?,Was the role of Tamara Rubilar while working in Canada known?
Willemijn Posthumus-van der Goot,Miep Gies,economics,student of,What subject did Miep Gies study under economics?,Did Miep Gies write a thesis under the guidance of their advisor economics?,What subject did Willemijn Posthumus-van der Goot study under economics?,Did Willemijn Posthumus-van der Goot write a thesis under the guidance of their advisor economics?
Pierre Orsi,Vincent Arnould,Paul Bocuse,student of,What subject did Vincent Arnould study under Paul Bocuse?,Did Vincent Arnould write a thesis under the guidance of their advisor Paul Bocuse?,What subject did Pierre Orsi study under Paul Bocuse?,Did Pierre Orsi write a thesis under the guidance of their advisor Paul Bocuse?
Daniele de' Porri,Parmigianino,Antonio da Correggio,student of,What subject did Parmigianino study under Antonio da Correggio?,Did Parmigianino write a thesis under the guidance of their advisor Antonio da Correggio?,What subject did Daniele de' Porri study under Antonio da Correggio?,Did Daniele de' Porri write a thesis under the guidance of their advisor Antonio da Correggio?
Andrea Schiavone,Parmigianino,Giorgione,student of,What subject did Parmigianino study under Giorgione?,Did Parmigianino write a thesis under the guidance of their advisor Giorgione?,What subject did Andrea Schiavone study under Giorgione?,Did Andrea Schiavone write a thesis under the guidance of their advisor Giorgione?
Diocleides of Athens,Larry Sanger,Euclid,student of,What subject did Larry Sanger study under Euclid?,Did Larry Sanger write a thesis under the guidance of their advisor Euclid?,What subject did Diocleides of Athens study under Euclid?,Did Diocleides of Athens write a thesis under the guidance of their advisor Euclid?
Charles Joseph Hullmandel,William Blake,Michael Faraday,student of,What subject did William Blake study under Michael Faraday?,Did William Blake write a thesis under the guidance of their advisor Michael Faraday?,What subject did Charles Joseph Hullmandel study under Michael Faraday?,Did Charles Joseph Hullmandel write a thesis under the guidance of their advisor Michael Faraday?
